Time_s,MSD_lattice_units2
2.670203436796296e-07,306.0
2.675244293029643e-07,326.0
2.678202851545185e-07,356.0
2.6806881478173335e-07,306.0
2.6904519269219725e-07,356.0
2.7454629847731254e-07,362.0
2.763818337793348e-07,356.0
2.776366952731386e-07,394.0
2.7917995272281623e-07,382.0
2.846988017260165e-07,342.0
2.877880160620263e-07,394.0
2.9739952521455596e-07,356.0
2.976759208673069e-07,338.0
2.9819493977267634e-07,338.0
3.034445821333439e-07,338.0
3.0494474082325606e-07,356.0
3.0748308137507233e-07,394.0
3.0952167265040305e-07,402.0
3.1050152730684426e-07,394.0
3.1211722843245137e-07,376.0
3.1444926937657196e-07,430.0
3.157167877269377e-07,394.0
3.16400266733794e-07,410.0
3.170045059279965e-07,408.0
3.2383418073414593e-07,430.0
3.2486954968016944e-07,434.0
3.335831159175958e-07,468.0
3.3570408898159596e-07,506.0
3.364868188345245e-07,570.0
3.390610784062234e-07,570.0
3.3988131401458453e-07,616.0
3.406942076091234e-07,666.0
3.432528784129666e-07,686.0
3.455389343112638e-07,738.0
3.467737334920918e-07,814.0
3.4972807108608765e-07,844.0
3.516927111554958e-07,894.0
3.558636933745901e-07,920.0
3.6601923896323097e-07,926.0
3.7098320975143045e-07,978.0
3.725172200602442e-07,954.0
3.725416138844685e-07,934.0
3.7501059915839735e-07,908.0
3.792885286325873e-07,990.0
3.7976832191570065e-07,1010.0
3.8354860516612326e-07,948.0
3.838308558159233e-07,926.0
3.87166234086686e-07,954.0
3.872518546179611e-07,1010.0
3.906857697304667e-07,954.0
3.980078462603369e-07,948.0
3.984296884014351e-07,866.0
3.997267465532094e-07,872.0
4.00474603662048e-07,926.0
4.0508830842690644e-07,990.0
4.109759943317631e-07,966.0
4.125401048930865e-07,1050.0
4.143798872008235e-07,1076.0
4.149439041883128e-07,1010.0
4.195702646133037e-07,990.0
4.1957796773983144e-07,934.0
4.2152574648367034e-07,872.0
4.2333718159212386e-07,814.0
4.2467797522860056e-07,844.0
4.25205522509987e-07,902.0
4.255979424731186e-07,986.0
4.2790988793394555e-07,926.0
4.281907512001872e-07,844.0
4.3141922171610205e-07,878.0
4.3164919731810754e-07,890.0
